Time (Sec);S1;S13;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S28;S29;S3;S34;S36;S37;S38;S6;S7;S8;
0.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;
0.10333333333333333;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;
0.20333333333333334;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;
0.30333333333333334;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;
0.4033333333333333;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;
0.5033333333333333;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;
0.6033333333333333;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;
0.7033333333333333;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;
0.8033333333333332;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;
0.9033333333333332;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;
1.0033333333333332;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;20000.0;
